영문공항명,한글공항명,공항코드1(IATA),한글국가명
Basango Mboliasa Airport,바상고 음볼리아사 공항,KRZ,콩고 민주공화국
Basankusu Airport,바산쿠스 공항,BSU,콩고 민주공화국
Basco Airport,바스코 공항,BSO,필리핀
Basra International Airport,바스라 국제 공항,BSR,이라크
Bassel Al Assad International Airport,바셀 알 아사드 국제공항,LTK,시리아
Bastia Poretta Airport,바스티아 포레타 공항,BIA,프랑스
Bata Airport,바타 공항,BSG,적도 기니
Batagay Airport,바타가이 공항,BQJ,러시아
Batchelor Airport,배철러 공항,n/a,오스트레일리아
Bathinda Airport,비자냐 공군기지,BUP,인도
Bathpalathang Airport,바트팔라탕 공항,BUT,부탄
Bathurst Airport,배서스트 공항,BHS,오스트레일리아
Bathurst Airport,배서스트 공항,ZBF,캐나다
Bathurst Island Airport,배서스트 아일랜드 공항,BRT,오스트레일리아
Batken Airport,바켄 공항,n/a,키르기스스탄
Batman Airport,배트맨 공항,BAL,터키
Batna Airport,바트나 공항,BLJ,알제리
Baton Rouge Metropolitan Airport,배턴루지 메트로폴리탄 공항,BTR,미국
Batsfjord Airport,보츠피오르 공항,BJF,노르웨이
Batticaloa International Airport,바티칼로아 국제공항,BTC,스리랑카
Batu Licin Airport,바투 리친 공항,BTW,인도네시아
Batumi International Airport,바투미 국제공항,BUS,조지아
Batuna Airport,바투나 공항,BPF,솔로몬 제도
Bauchi State Airport,바우치 주립 공항,BCU,나이지리아
BauerFieldInternational Airport,바우어필드 국제 공항,VLI,바누아투
Bauru Arealva State Airport,바우루 아레알바 주립 공항,JTC,브라질
Bawean Airport,바웨안 공항,BXW,인도네시아
Bayanaul Airport,바야눌 공항,n/a,카자흐스탄
Bayankhongor Airport,바얀콩고르 공항,BYN,몽골
Bayannur Tianjitai Airport,바얀누르 톈지타이 공항,RLK,중국
Baykit Airport,베이킷 공항,n/a,러시아
Bazhong Enyang Airport,바중 엔양 공항,BZX,중국
Bearskin Lake Airport,베어스킨 레이크 공항,XBE,캐나다
Beaufort County Airport,보퍼트 카운티 공항,BFT,미국
Beauvais Tille Airport,보베 틸레 공항,BVA,프랑스
Beaver Airport,비버 공항,WBQ,미국
Bedourie Airport,베두리 공항,BEU,오스트레일리아
Bedwell Harbour Water Aerodrome,베드웰 하버 수상 비행장,YBW,캐나다
Begishevo Airport,베기셰보 공항,NBC,러시아
Begumpet Airport,베굼펫 공항,BPM,인도
Beihai Fucheng Airport,베이하이 푸청 공항,BHY,중국
Beijing Capital International Airport,베이징 서우두 국제공항,PEK,중국
Beijing Daxing International Airport,베이징 다싱 국제공항,PKX,중국
Beijing Nanyuan Airport,베이징 난위안 공항,NAY,중국
Beira Airport,베이라 공항,BEW,모잠비크
Beirut Rafic Hariri International Airport,베이루트 라픽 하리리 국제공항,BEY,레바논
Beja Airport,베자 공항,BYJ,포르투갈
Belaya Gora Airport,벨라야 고라 공항,BGN,러시아
Belem Protasio de Oliveira Airport,벨렘 프로타시오 데 올리베이라 공항,n/a,브라질
Belfast International Airport,벨파스트 국제 공항,BFS,영국
Belgaum Airport,벨가움 공항,IXG,인도
Belgorod International Airport,벨고로트 국제 공항,EGO,러시아
Belgrade Nikola Tesla Airport,베오그라드 니콜라 테슬라 공항,BEG,세르비아
Belize City Municipal Airport,벨리즈 시티 공항,TZA,벨리즈
Bella Bella Airport,벨라 벨라 ,ZEL,캐나다
Bella Coola Airport,벨라 쿨라 공항,QBC,캐나다
Bellary Airport,벨라리 공항,BEP,인도
Bellingham International Airport,벨링햄 국제 공항,BLI,미국
Anua Airport,아누아 공항,BNY,솔로몬 제도
Carlos Drummond de Andrade Airport,카를로스 드러먼드 데 안드라데 공항,PLU,브라질
Belo sur Tsiribihina Airport,벨로 수르 치리비히나 공항,BMD,마다가스카르
Beloyarsk Airport,벨로야르스크 공항,EYK,러시아
Bemidji Regional Airport,베미지 지역공항,BJI,미국
Ben Bruce Memorial Airpark,벤 브루스 메모리얼 에어파크,EVA,미국
Ben Gurion Airport,벤구리온 공항,TLV,이스라엘
Ben Slimane Airport,벤슬리만 공항,GMD,모로코
Benazir Bhutto International Airport,베나지어 부토 국제공항,n/a,파키스탄
Benbecula Airport,벤베큘라 공항,BEB,영국
Bender Qassim International Airport,벤더 카심 국제 공항,BSA,소말리아
Bendigo Airport,벤디고 공항,BXG,오스트레일리아
Benedito Lacerda Airport,베네디토 라세르다 공항,MEA,브라질
Bengbu Airport,방부공항,BFU,중국
Benguela Airport,벵겔라 공항,BUG,앙골라
Beni Airport,베니 공항,BNC,콩고 민주공화국
Beni Mellal Airport,베니 멜랄 공항,BEM,모로코
Benin Airport,베냉 공항,BNI,나이지리아
Benina International Airport,베니나 국제 공항,BEN,리비아
Benito Salas Airport,베니토 살라스 공항,NVA,콜롬비아
BenjamIn Rivera Noriega Airport,벤자민 리베라 노리에가 공항,CPX,푸에르토리코
Bensbach Airport,벤스바흐 공항,BSP,파푸아뉴기니
Bentota River Airport,벤토타 리버 공항,BJT,스리랑카
Berbera Airport,베르베라 공항,BBO,소말리아
Berens River Airport,베렌스 리버 공항,YBV,캐나다
Bergen Airport Flesland,플레스랜드 공항,BGO,노르웨이
Bergerac Dordogne Perigord Airport,베르주라크 도르도뉴 페리고르 공항,EGC,프랑스
Berlevag Airport,베를레보그 공항,BVG,노르웨이
Berlin Brandenburg Airport,베를린 브란덴부르크 공항,BER,독일
Bern Airport,베른 공항,BRN,스위스
Bert Mooney Airport,버트 무니 공항,BTM,미국
Bertoua Airport,베르투아 공항,BTA,카메룬
Bertram Luiz Leupolz Sorocaba Airport,베르트람 루이스 로이폴츠 소로카바 공항,SOD,브라질
Beru Island Airport,베루 섬 공항,BEZ,키리바시
Beryozovo Airport,베리조보 공항,EZV,러시아
Besalampy Airport,베살람피 공항,BPY,마다가스카르
Beslan Airport,베슬란 공항,OGZ,러시아
Bethel Airport,베델 공항,BET,미국
Betoambari Airport,베토암바리 공항,BUW,인도네시아
Betong Airport,베통 공항,BTZ,태국
Bettles Airport,베틀스 공항,BTT,미국
Beziers Cap d'Agde Airport,베지어 캅 다그드 공항,BZR,프랑스
Bhadrapur Airport,바드라푸르 공항,BDP,네팔
Bhamo Airport,바모 공항,BMO,미얀마
Bharatpur Airport,바랏푸르 공항,BHR,네팔
Bhavnagar Airport,바브나가르 공항,BHU,인도
Bhojpur Airport,보즈푸르 공항,BHP,네팔
Bhuj Airport,부지 공항,BHJ,인도
Bhuntar Airport,분타르 공항,KUU,인도
Bialystok Krywlany Airport,비아위스토크 크리울라니 공항,QYY,폴란드
Biarritz Pays Basque Airport,비아리츠 페이 바스크 공항,BIQ,프랑스
Bicol International Airport,비콜 국제공항,DRP,필리핀
Bidar Airport,비다르 공항,IXX,인도
Bien Hoa Airport,비엔호아 공항,n/a,베트남
Big Bay Water Aerodrome,빅 베이 수상 비행장,YIG,캐나다
Big Creek Airport,빅 크릭 공항,n/a,미국
Big Trout Lake Airport,빅 트라우트 레이크 공항,YTL,캐나다
Biggs Army Airfield,빅스 육군 비행장,BIF,미국
Bihac Airport,비하치 공항,n/a,보스니아 헤르체고비나
Bijie Feixiong Airport,비지에 페이슝 공항,BFJ,중국
Biju Patnaik International Airport,비주 파트나이크 국제공항,BBI,인도
Bikini Atoll Airport,비키니 아톨 공항,BII,마샬 군도
Bilaspur Airport,빌라스푸르 공항,PAB,인도
Bilbao Airport,빌바오 공항,BIO,스페인
BIldudalur Airport,빌두달루르 공항,BIU,아이슬란드
Biliran Airport,빌리란 공항,n/a,필리핀
Billings Logan International Airport,빌링스 로건 국제 공항,BIL,미국
Billund Airport,빌룬드 공항,BLL,덴마크
Billy Bishop Toronto City Airport,빌리 비숍 토론토 시티 공항,YTZ,캐나다
Biloela Airport,빌로엘라 공항,ZBL,오스트레일리아
Binaka Airport,비나카 공항,GNS,인도네시아
Bingl Airport,빙골 공항,BGG,터키
Bintulu Airport,빈툴루 공항,BTU,말레이시아
Biratnagar Airport,비랏나가르 공항,BIR,네팔
Birch Creek Airport,버치 크릭 공항,KBC,미국
Birdsville Airport,버즈빌 공항,BVI,오스트레일리아
Birjand International Airport,비르잔드 국제 공항,XBJ,이란
Birmingham Airport,버밍엄 공항,BHX,영국
Birmingham Shuttlesworth International Airport,버밍엄 셔틀스워스 국제공항,BHM,미국
Birnin Kebbi International Airport,비르닌 케비 국제공항,n/a,나이지리아
Birsa Munda Airport,비르사 문다 공항,IXR,인도
Bisha Domestic Airport,비샤 국내선 공항,BHH,사우디아라비아
Bishop International Airport,비숍 국제 공항,FNT,미국
Biskra Airport,비스크라 공항,BSK,알제리
Bismarck Municipal Airport,비스마르크 공항,BIS,미국
Biysk Airport,비스크 공항,n/a,러시아
Bjorkvik Airport,비요르크비크 공항,n/a,스웨덴
Black Tickle Airport,블랙 티클 공항,YBI,캐나다
Blackall Airport,블랙올 공항,BKQ,오스트레일리아
Blackbushe Airport,블랙부셰 공항,BBS,영국
Blackpool Airport,블랙풀 공항,BLK,영국
Blaise Diagne International Airport,블레즈 디아뉴 국제 공항,DSS,세네갈
Block Island State Airport,블록 아일랜드 스테이트 공항,BID,미국
Bloemfontein Airport,블룸폰테인 공항,BFN,남아프리카
BloomFieldAirport,블룸필드 공항,BFC,오스트레일리아
Blue Canyon Nyack Airport,블루 캐니언 나이액 공항,BLU,미국
Blue Grass Airport,블루 그래스 공항,LEX,미국
Blue Mountain Airport,블루 마운틴 공항,VBM,미국
BlueField Airport,블루필즈 공항,BEF,니카라과
Boa Vista International Airport,보아 비스타 국제 공항,BVB,브라질
Bob Baker Memorial Airport,밥 베이커 메모리얼 공항,IAN,미국
Bob Hope Airport,밥 호프 공항,BUR,미국
Bobo Dioulasso Airport,보보 디울라소 공항,BOY,부르키나 파소
Boca Raton Airport,보카 레이턴 공항,BCT,미국
"Bocas del Toro ""Isla Colon"" International Airport","보카스 델 토로 ""이슬라 콜론"" 국제공항",BOC,파나마
Bodaybo Airport,보다이보 공항,ODO,러시아
Bodo Airport,보되 공항,BOO,노르웨이
Bodrum Imsik Airport,보드룸 임식 공항,BXN,터키
Boende Airport,보엔데 공항,BNB,콩고 민주공화국
Bogashevo Airport,보가셰보 공항,TOF,러시아
Bogorodskoye Airport,보고로드스코예 공항,BQG,러시아
Bohol Panglao International Airport,보홀 팡라오 국제공항,TAG,필리핀
Boigu Island Airport,보이구 아일랜드 공항,GIC,오스트레일리아
Boise Air Terminal ,보이시 에어터미널 ,BOI,미국
Bojnord Airport,보이노르드 공항,BJB,이란
Bokaro Airport,보카로 공항,n/a,인도
Bokeo International Airport,보케오 국제공항,BOR,라오스
Bokhtar International Airport,보흐타르 국제공항,KQT,타지키스탄
Bokpyin Airport,복평공항,VBP,미얀마
Bol Airport,볼 공항,BWK,크로아티아
Bole Alashankou Airport,볼레 알라샨커우 공항,BPL,중국
Bologna Guglielmo Marconi Airport,볼로냐 굴리엘모 마르코니 공항,BLQ,이탈리아
Bolzano Airport,볼차노 공항,BZO,이탈리아
Bom Futuro Municipal Airport,봄 푸투로 시립공항,LVR,브라질
Bom Jesus Vale do Gurgueia Regional Airport,봉 제주스 발레 두 구르게이아 지역 공항,n/a,브라질
Boma Airport,보마 공항,BOA,콩고 민주공화국
Bonaventure Airport,보나벤투라 공항,YVB,캐나다
Bonito Airport,보니토 공항,BYO,브라질
Bonne Terre Airport,본 테르 공항,n/a,미국
Bonriki International Airport,본리키 국제 공항,TRW,키리바시
Boolgeeda Airport,불지다 공항,OCM,오스트레일리아
Boone County Airport,분 카운티 공항,HRO,미국
Bora Bora Airport,보라보라 공항,BOB,프랑스령 폴리네시아
Bordeaux Merignac Airport,보르도 메리냑 공항,BOD,프랑스
Bordj Mokhtar Airport,보르지 모크타르 공항,BMW,알제리
Borg El Arab Airport,보르그 엘 아랍 공항,HBE,이집트
Borkum Airfield,보르쿰 비행장,BMK,독일
Bornholm Airport,본홀름 공항,RNN,덴마크
Borongan Airport,보롱간 공항,BPA,필리핀
Boryspil International Airport,보리스필 국제공항,KBP,우크라이나
Bost Airport,보스트 공항,BST,아프가니스탄
Bouake Airport,부아케 공항,BYK,코트디부아르
Bouarfa Airport,부아르파 공항,UAR,모로코
Boudghene Ben Ali Lotfi Airport,부게네 벤알리 로트피 공항,CBH,알제리
Boulder City Municipal Airport,볼더 시티 시립공항,BLD,미국
Boulia Airport,불리아 공항,BQL,오스트레일리아
Boun Neua Airport,분네우아 공항,PCQ,라오스
Boundary Bay Airport,바운더리 베이 공항,YDT,캐나다
Bourke Airport,버크 공항,BRK,오스트레일리아
Bournemouth Airport,본머스 공항,BOH,영국
Bowling Green Warren County Regional Airport,볼링그린 워렌 카운티 공항,BWG,미국
Bozeman Yellowstone International Airport,보즈먼 옐로스톤 국제공항,BZN,미국
Bradford Regional Airport,브래드퍼드 공항,BFD,미국
Bradley International Airport,브래들리 국제 공항,BDL,미국
Braganca Airport,브라간사 공항,BGC,포르투갈
Brahmapur Airport,브라마푸르 공항,n/a,인도
Brainerd Lakes Regional Airport,브레이너드 레이크 공항,BRD,미국
Brak Airport,브락 공항,BCQ,리비아
Brampton Island Airport,브램턴 아일랜드 공항,BMP,오스트레일리아
Brandon Municipal Airport,브랜든 뮤니시펄 공항,YBR,캐나다
Branson Airport,브랜슨 공항,BKG,미국
BrasIlia International Airport,브라질리아 국제공항,BSB,브라질
Brasov Ghimbav International Airport,브라쇼브 김바브 국제공항,GHV,루마니아
Bratsk Airport,브라츠크 공항,BTK,러시아
Braunschweig Wolfsburg Airport,브라운슈바이크 볼프스부르크 공항,BWE,독일
Bremen Airport,브레멘 공항,BRE,독일
Brescia Airport,브레시아 공항,VBS,이탈리아
Brest Airport,브레스트 공항,BQT,벨라루시
Brest Bretagne Airport,브레스트 브르타뉴 공항,BES,프랑스
Brevig Mission Airport,브레빅 미션 공항,KTS,미국
Bridgewater Air Park,브리지워터 에어파크,n/a,미국
Brigadier Mayor Cesar RaUl Ojeda Airport,세자르 라울 오헤다 공항준장,LUQ,아르헨티나
Brindisi Salento Airport,브린디시 살렌토 공항,BDS,이탈리아
Brisbane Airport,브리즈번 공항,BNE,오스트레일리아
Brisbane Archerfield Airport,브리즈번 아처필드 공항,n/a,오스트레일리아
Bristol Airport,브리스톨 공항,BRS,영국
Brive Souillac Airport,브리브 / 수이락 공항,BVE,프랑스
Brno Turany Airport,브르노 투르자니 공항,BRQ,체코
Broadford Airfield,브로드포드 비행장,SKL,영국
Brochet Airport,브로셰 공항,YBT,캐나다
Brockville Regional Tackaberry Airport,브로크빌 지역 태커베리 공항,XBR,캐나다
Broken Hill Airport,브로큰 힐 공항,BHQ,오스트레일리아
Bronnoysund Airport Bronnoy,브로노이 공항,BNN,노르웨이
Brookings Regional Airport,브루킹스 공항,BKX,미국
Broome International Airport,브룸 국제 공항,BME,오스트레일리아
Bruce Campbell Field,브루스 캠벨 필드 ,DXE,미국
Brunei International Airport,브루나이 국제 공항,BWN,브루나이
Brunswick Golden Isles Airport,브런즈윅 골든 아일즈 공항,BQK,미국
Brus Laguna Airport,브루스 라구나 공항,BHG,온두라스
